zip,neighborhood,activeCustomers,saturation,cancelEvents,neighborScore,tier,estimatedReach,estimatedConversionRate,estimatedNewCustomers,estimatedFirstYearRevenue,postcardCost,digitalCost,totalCost,estimatedROI
33032,Homestead,12,0.08,0,5.6,Tier 2 — Strong Candidate,2250,0.8,18,14040,1913,675,2588,443
33160,North Miami Beach / Aventura,9,0.06,0,5.5,Tier 2 — Strong Candidate,2250,0.8,18,14040,1913,675,2588,443
33016,Hialeah,7,0.05,0,5.4,Tier 2 — Strong Candidate,2250,0.8,18,14040,1913,675,2588,443
33127,Wynwood / Overtown,6,0.04,0,5.3,Tier 2 — Strong Candidate,2250,0.8,18,14040,1913,675,2588,443
33129,Brickell,16,0.11,4,5.3,Tier 2 — Strong Candidate,2250,0.8,18,14040,1913,675,2588,443
33174,Westchester / Tamiami,5,0.03,0,5.3,Tier 2 — Strong Candidate,2610,0.8,21,16380,2219,783,3002,446
33182,West Kendall,5,0.04,0,5.3,Tier 2 — Strong Candidate,2130,0.8,17,13260,1811,639,2450,441
33125,Little Havana,3,0.02,0,5.2,Tier 2 — Strong Candidate,2250,0.8,18,14040,1913,675,2588,443
33184,Kendall West / Tamiami,3,0.02,0,5.2,Tier 2 — Strong Candidate,2970,0.8,24,18720,2525,891,3416,448
33034,Florida City,4,0.03,3,4.7,Tier 3 — Secondary,2250,0.8,18,14040,1913,675,2588,443
33031,Homestead,6,0.04,2,4.6,Tier 3 — Secondary,2250,0.8,18,14040,1913,675,2588,443
33135,Little Havana / Shenandoah,9,0.06,4,4.6,Tier 3 — Secondary,2250,0.8,18,14040,1913,675,2588,443
33141,North Beach / Surfside,9,0.06,4,4.6,Tier 3 — Secondary,2250,0.8,18,14040,1913,675,2588,443
33189,Cutler Bay,15,0.1,9,4.6,Tier 3 — Secondary,2220,0.8,18,14040,1887,666,2553,450
33130,Brickell / Roads,3,0.02,1,4.5,Tier 3 — Secondary,2250,0.8,18,14040,1913,675,2588,443
33177,Kendall / The Hammocks,15,0.06,10,4.4,Tier 3 — Secondary,3780,0.8,30,23400,3213,1134,4347,438
33170,Princeton / Leisure City,4,0.03,2,4.2,Tier 3 — Secondary,2250,0.8,18,14040,1913,675,2588,443
33183,Kendall,8,0.05,14,3.4,Tier 3 — Secondary,2640,0.8,21,16380,2244,792,3036,440
33162,North Miami Beach,8,0.05,9,3.2,Tier 3 — Secondary,2250,0.8,18,14040,1913,675,2588,443
33018,Hialeah Gardens,6,0.04,7,3,Tier 3 — Secondary,2250,0.8,18,14040,1913,675,2588,443
33035,Homestead,5,0.03,12,2.3,Tier 4 — Monitor,2250,0.8,18,14040,1913,675,2588,443
